feature,importance
day_of_month,6
sma_diff_20_50,3
sma_20,3
hour,3
day_of_week,2
bb_upper,2
sma_50,2
ema_9,2
bb_lower,2
bb_width,1
macd_signal,1
hour_cos,1
volatility_20,1
atr,1
returns_1,0
is_bearish,0
is_bullish,0
rsi_overbought,0
rsi_oversold,0
rsi,0
ema_21,0
is_doji,0
macd_bullish,0
macd_line,0
macd_histogram,0
bb_middle,0
bb_position,0
lower_shadow,0
returns_5,0
upper_shadow,0
returns_15,0
candle_range,0
body_size,0
pattern_shooting_star,0
pattern_hammer,0
stoch_overbought,0
stoch_oversold,0
stoch_d,0
stoch_k,0
pattern_bearish_engulfing,0
pattern_doji,0
pattern_three_white_soldiers,0
pattern_three_black_crows,0
bearish_pattern_count,0
pattern_bullish_engulfing,0
pattern_dark_cloud_cover,0
pattern_morning_star,0
pattern_evening_star,0
pattern_piercing_pattern,0
momentum_5,0
price_to_ema9,0
price_to_sma20,0
ema_diff_9_21,0
bullish_pattern_count,0
volume_ratio,0
volatility_5,0
momentum_15,0
bb_squeeze,0
rsi_diff,0
ema9_slope,0
is_asian_session,0
is_london_session,0
is_ny_session,0
is_weekend,0
hour_sin,0
