feature,importance
sma_50,0.05028834021338205
ema_21,0.04347403186878462
bb_upper,0.04314733976981142
sma_diff_20_50,0.04313137145209546
bb_lower,0.04293835066389502
ema_9,0.04164592029916676
bb_middle,0.040916148596862434
sma_20,0.040855572655394405
volatility_20,0.03920928871974347
macd_signal,0.037340825398081985
hour,0.03427012300474917
macd_line,0.03176234135392676
day_of_month,0.03075704281406845
bb_width,0.030529988160519998
hour_cos,0.02997916445029929
hour_sin,0.029104742170349165
ema_diff_9_21,0.028777606305083338
macd_histogram,0.026468974183845154
atr,0.025559367100875793
volatility_5,0.023732112329550272
ema9_slope,0.022201210454272594
day_of_week,0.020178080762758514
momentum_15,0.019671398532076563
price_to_sma20,0.019330837072005065
returns_15,0.019325260024948252
bb_position,0.01869349340326096
rsi,0.018232062860326154
rsi_diff,0.016921795449923005
momentum_5,0.0155005347071435
returns_5,0.0153143355685597
price_to_ema9,0.01519146006228142
candle_range,0.01330553861373577
body_size,0.013005060294997721
returns_1,0.012970737246615177
lower_shadow,0.011063524065047054
upper_shadow,0.010734292235229195
is_weekend,0.004815557294588118
is_ny_session,0.004207050235593171
is_asian_session,0.003743741911067922
is_london_session,0.0036605920384957026
bb_squeeze,0.003219066571121267
macd_bullish,0.001496485827977984
is_doji,0.0007677281408226722
rsi_oversold,0.0006598168641110616
is_bearish,0.0006581988447826233
is_bullish,0.0006500882691557335
rsi_overbought,0.0005934011386182235
stoch_d,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
