feature,importance
is_weekend,0.03789975
ema_21,0.036007896
sma_50,0.035016377
bb_lower,0.03446537
bb_upper,0.032742664
hour_cos,0.032129273
ema_9,0.03211751
is_ny_session,0.03110136
day_of_month,0.031033564
day_of_week,0.030820994
hour,0.030222807
hour_sin,0.0299959
bb_middle,0.02873197
macd_bullish,0.028275969
is_asian_session,0.028218905
bb_squeeze,0.028023418
is_london_session,0.027406052
sma_20,0.027160663
sma_diff_20_50,0.026708018
macd_signal,0.026047196
bb_width,0.022941913
ema_diff_9_21,0.022838851
volatility_20,0.022385724
macd_line,0.021829663
rsi_overbought,0.020971686
macd_histogram,0.020423869
price_to_sma20,0.018480211
atr,0.017940452
momentum_15,0.017389841
returns_15,0.016387384
bb_position,0.01563117
ema9_slope,0.015503002
rsi,0.015426156
volatility_5,0.014010952
is_bearish,0.012967804
price_to_ema9,0.012778705
momentum_5,0.011908155
rsi_diff,0.01158085
returns_5,0.011429268
body_size,0.0104571255
lower_shadow,0.009963433
is_doji,0.009781927
candle_range,0.009211103
returns_1,0.00905573
upper_shadow,0.008377013
is_bullish,0.0062023504
stoch_d,0.0
rsi_oversold,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
