feature,importance
sma_50,0.035217095
bb_middle,0.033594105
bb_lower,0.033321135
ema_9,0.033025566
ema_21,0.032883096
day_of_month,0.032672152
bb_upper,0.03265446
hour_cos,0.031648807
day_of_week,0.03143988
is_weekend,0.03126026
sma_20,0.030910026
rsi_oversold,0.030681299
hour_sin,0.030580658
hour,0.028931389
sma_diff_20_50,0.028491555
macd_signal,0.026545936
bb_squeeze,0.026290288
is_ny_session,0.026182925
is_london_session,0.02433161
bb_width,0.024250776
macd_line,0.02390238
is_asian_session,0.02359752
volatility_20,0.023174943
ema_diff_9_21,0.022231877
macd_histogram,0.021406488
momentum_15,0.020947821
returns_15,0.01987298
atr,0.019450432
price_to_sma20,0.019103346
rsi_overbought,0.017453322
ema9_slope,0.016652375
rsi,0.016316848
bb_position,0.016066182
volatility_5,0.014512211
macd_bullish,0.014298635
momentum_5,0.014061042
price_to_ema9,0.012618096
returns_5,0.011692326
is_doji,0.010838039
rsi_diff,0.010809875
body_size,0.00821874
candle_range,0.0076243263
returns_1,0.007350093
lower_shadow,0.007308899
upper_shadow,0.0064880424
is_bearish,0.0062968037
is_bullish,0.0027933482
stoch_d,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
