feature,importance
bb_middle,0.07936324
bb_lower,0.072547495
sma_50,0.068424195
sma_20,0.051812902
day_of_month,0.050862044
ema_21,0.04843632
ema_9,0.045379642
day_of_week,0.04193899
bb_upper,0.039522722
is_weekend,0.034098033
hour_sin,0.021180531
hour,0.020969464
is_ny_session,0.020178972
is_asian_session,0.020157319
hour_cos,0.02000853
is_london_session,0.017575849
macd_signal,0.017209971
macd_line,0.016213618
sma_diff_20_50,0.016156798
volatility_20,0.015067511
ema_diff_9_21,0.014767012
bb_width,0.014446852
bb_squeeze,0.014435154
macd_histogram,0.013756239
price_to_sma20,0.013475002
atr,0.012823838
macd_bullish,0.01247881
ema9_slope,0.012156922
momentum_15,0.011578831
bb_position,0.011473249
rsi,0.01095811
price_to_ema9,0.010821372
returns_15,0.0108086625
volatility_5,0.010710511
rsi_oversold,0.010330171
momentum_5,0.0099196
rsi_diff,0.009837982
returns_5,0.009554101
rsi_overbought,0.008678553
body_size,0.008344814
candle_range,0.008271011
upper_shadow,0.008075305
lower_shadow,0.007851159
returns_1,0.007798788
is_bearish,0.0075836508
is_bullish,0.006528105
is_doji,0.005432042
stoch_d,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
