iter	MultiClass
0	1.041666546
1	1.000789684
2	0.9712228893
3	0.9494761305
4	0.9332423121
5	0.9214870386
6	0.9125768539
7	0.9057251422
8	0.9004368154
9	0.8956553014
10	0.8922322014
11	0.8896951122
12	0.8876634117
13	0.8862317223
14	0.8846959048
15	0.8834171584
16	0.8811107592
17	0.8793891828
18	0.877581038
19	0.8759135806
20	0.8736238488
21	0.8718493764
22	0.8698394378
23	0.8677077701
24	0.8655904354
25	0.8635686216
26	0.8625773879
27	0.8603500765
28	0.8591620057
29	0.8577661394
30	0.8567246297
31	0.8556117982
32	0.8539347333
33	0.8523971369
34	0.8505563093
35	0.8491018465
36	0.8472627651
37	0.8459296576
38	0.8434811627
39	0.841631672
40	0.8403629337
41	0.8380862443
42	0.8366434945
43	0.8344042678
44	0.8334870011
45	0.8319905193
46	0.8306758609
47	0.8291696663
48	0.8274927754
49	0.8260715064
50	0.8247969509
51	0.8231113224
52	0.8215648325
53	0.8193852241
54	0.8176992577
55	0.8168669445
56	0.8143490608
57	0.8132020593
58	0.8121187677
59	0.81007501
60	0.8080952712
61	0.806351614
62	0.8050650607
63	0.8029857935
64	0.8015501622
65	0.8000896956
66	0.7978899888
67	0.7968394771
68	0.7947750146
69	0.7934465365
70	0.7920388473
71	0.7907179096
72	0.7889888119
73	0.7863303714
74	0.7847670626
75	0.7834550196
76	0.7819120553
77	0.7805455692
78	0.7789692125
79	0.7779838958
80	0.7767384479
81	0.7752099216
82	0.772796046
83	0.7717627538
84	0.7704664696
85	0.7683556107
86	0.7671561363
87	0.7659591078
88	0.7645139179
89	0.7622632479
90	0.7609565047
91	0.7597324202
92	0.7578415567
93	0.7569245366
94	0.7553204155
95	0.7539904434
96	0.7522499108
97	0.7513822301
98	0.7495358947
99	0.748286102
100	0.7466152704
101	0.7451047002
102	0.7434088331
103	0.7422003754
104	0.7405431109
105	0.7396545864
106	0.738210023
107	0.7365047413
108	0.7346582926
109	0.7336928697
110	0.7323188176
111	0.7314407339
112	0.730098581
113	0.7288313683
114	0.7268430263
115	0.7258305865
116	0.7243114093
117	0.7230020735
118	0.721641523
119	0.7199448565
120	0.7184759697
121	0.7171157642
122	0.7163657486
123	0.7149185386
124	0.7131364745
125	0.7119950886
126	0.7099131143
127	0.7085830509
128	0.7077975265
129	0.7071490938
130	0.7061890478
131	0.7043502105
132	0.7035280234
133	0.7022633921
134	0.7008713916
135	0.6999262042
136	0.6987140884
137	0.6974339454
138	0.6961757566
139	0.6945347716
140	0.6933270872
141	0.6924169052
142	0.6914497285
143	0.6902881201
144	0.6890564976
145	0.686882036
146	0.6859182374
147	0.6846086887
148	0.683423492
149	0.6816996287
150	0.6802573192
151	0.6789594296
152	0.6780357282
153	0.676577636
154	0.674872774
155	0.673299081
156	0.6723489712
157	0.6712617977
158	0.6703668952
159	0.6690751219
160	0.6683794643
161	0.6673406389
162	0.6661778947
163	0.6651772621
164	0.6642372887
165	0.6628808838
166	0.6617201531
167	0.6603212488
168	0.6583950652
169	0.6574622911
170	0.6558173854
171	0.6551560241
172	0.6544587392
173	0.6531862795
174	0.652413762
175	0.6509368999
176	0.6497294193
177	0.6485560511
178	0.6475540927
179	0.6464840261
180	0.6455477089
181	0.6442649499
182	0.6436030787
183	0.6428384274
184	0.6416254991
185	0.6405002891
186	0.6392253474
187	0.6381638273
188	0.6369514089
189	0.6354753454
190	0.6346388327
191	0.6333449427
192	0.6313781878
193	0.6305368886
194	0.6292293096
195	0.6281393737
196	0.6271855616
197	0.6255053602
198	0.6241188743
199	0.6225030539
200	0.6210688765
201	0.6195094311
202	0.6182772216
203	0.6173110737
204	0.6156259206
205	0.6149323178
206	0.6138409342
207	0.6127613211
208	0.6115248548
209	0.610670841
210	0.6096286511
211	0.6077694258
212	0.6066787937
213	0.6060983153
214	0.604757438
215	0.6036962803
216	0.6026426972
217	0.6013086366
218	0.6006320569
219	0.5994379772
220	0.5980761448
221	0.5970226085
222	0.596356665
223	0.5954969338
224	0.5943282852
225	0.5929686583
226	0.5918911114
227	0.5907494412
228	0.5896050962
229	0.5883416566
230	0.5872483492
231	0.5860237001
232	0.5850968489
233	0.5837118463
234	0.5828559638
235	0.5817795706
236	0.5812220371
237	0.5798138762
238	0.5786529812
239	0.5775965777
240	0.5764122686
241	0.574947247
242	0.5740711952
243	0.5730874332
244	0.571648795
245	0.5704949397
246	0.5696273141
247	0.5682627693
248	0.5673965994
249	0.5666854582
