iter	Passed	Remaining
0	213	53164
1	364	45146
2	527	43425
3	676	41613
4	826	40490
5	976	39729
6	1126	39116
7	1299	39315
8	1478	39592
9	1633	39204
10	1792	38936
11	1942	38528
12	2083	37982
13	2214	37331
14	2354	36893
15	2511	36728
16	2663	36499
17	2804	36143
18	2946	35818
19	3080	35430
20	3256	35513
21	3404	35283
22	3538	34923
23	3659	34464
24	3786	34078
25	3920	33780
26	4045	33416
27	4163	33013
28	4280	32621
29	4401	32277
30	4523	31959
31	4641	31619
32	4767	31349
33	4895	31101
34	5027	30885
35	5158	30661
36	5273	30359
37	5390	30071
38	5518	29856
39	5632	29571
40	5751	29316
41	5877	29107
42	6010	28936
43	6150	28795
44	6280	28612
45	6421	28477
46	6568	28370
47	6699	28194
48	6821	27984
49	6949	27798
50	7076	27613
51	7208	27447
52	7337	27273
53	7479	27146
54	7606	26968
55	7729	26776
56	7852	26587
57	7978	26412
58	8099	26221
59	8222	26036
60	8354	25884
61	8491	25749
62	8630	25617
63	8764	25472
64	8883	25282
65	9010	25121
66	9134	24949
67	9259	24782
68	9394	24644
69	9533	24515
70	9665	24369
71	9795	24216
72	9930	24077
73	10070	23950
74	10203	23807
75	10341	23677
76	10482	23552
77	10610	23397
78	10746	23261
79	10877	23114
80	11013	22978
81	11156	22857
82	11289	22714
83	11422	22572
84	11561	22443
85	11693	22299
86	11821	22147
87	11979	22052
88	12114	21914
89	12244	21767
90	12379	21629
91	12510	21485
92	12638	21335
93	12761	21177
94	12888	21029
95	13022	20889
96	13149	20740
97	13289	20612
98	13433	20490
99	13567	20351
100	13699	20209
101	13820	20053
102	13950	19909
103	14071	19754
104	14198	19607
105	14333	19471
106	14466	19333
107	14598	19194
108	14732	19057
109	14860	18912
110	14995	18778
111	15125	18636
112	15261	18502
113	15398	18370
114	15532	18233
115	15672	18104
116	15807	17968
117	15946	17838
118	16186	17818
119	16419	17787
120	16605	17703
121	16796	17622
122	16955	17506
123	17198	17475
124	17378	17378
125	17549	17271
126	17724	17165
127	17877	17039
128	18045	16926
129	18207	16806
130	18388	16703
131	18563	16594
132	18727	16474
133	18884	16347
134	19058	16235
135	19213	16105
136	19389	15992
137	19563	15877
138	19709	15739
139	19848	15594
140	19989	15453
141	20127	15308
142	20260	15160
143	20416	15028
144	20569	14895
145	20725	14763
146	20870	14623
147	21013	14482
148	21156	14340
149	21367	14245
150	21654	14197
151	21832	14075
152	22029	13966
153	22204	13841
154	22381	13717
155	22543	13583
156	22679	13434
157	22836	13297
158	22996	13161
159	23148	13021
160	23293	12876
161	23428	12726
162	23553	12571
163	23685	12420
164	23814	12267
165	23958	12123
166	24092	11974
167	24224	11823
168	24369	11680
169	24500	11529
170	24628	11378
171	24760	11228
172	24885	11076
173	25028	10931
174	25165	10785
175	25304	10639
176	25450	10496
177	25589	10350
178	25718	10201
179	25864	10058
180	26006	9914
181	26154	9772
182	26305	9631
183	26453	9488
184	26584	9340
185	26728	9196
186	26870	9052
187	27049	8920
188	27177	8771
189	27331	8631
190	27466	8484
191	27593	8335
192	27734	8190
193	27872	8045
194	28001	7897
195	28133	7750
196	28266	7604
197	28405	7459
198	28536	7313
199	28662	7165
200	28795	7019
201	28930	6874
202	29066	6729
203	29193	6582
204	29335	6439
205	29478	6296
206	29612	6151
207	29735	6004
208	29866	5858
209	29995	5713
210	30126	5568
211	30272	5426
212	30421	5284
213	30555	5140
214	30683	4995
215	30818	4851
216	30942	4705
217	31076	4561
218	31210	4417
219	31353	4275
220	31481	4131
221	31608	3986
222	31735	3842
223	31862	3698
224	31989	3554
225	32173	3416
226	32314	3274
227	32451	3131
228	32598	2989
229	32735	2846
230	32856	2702
231	32996	2560
232	33128	2417
233	33270	2274
234	33407	2132
235	33541	1989
236	33671	1846
237	33805	1704
238	33935	1561
239	34065	1419
240	34201	1277
241	34355	1135
242	34487	993
243	34628	851
244	34768	709
245	34904	567
246	35045	425
247	35200	283
248	35354	141
249	35499	0
