candles_since_crash,mean,count
0,0.019026637292209093,4993
1,0.015924867292772562,4898
2,0.019087136929460582,4820
3,0.02030456852791878,4728
4,0.018998272884283247,4632
5,0.021566901408450703,4544
6,0.01979307242465137,4446
7,0.018815970628728775,4358
8,0.01637043966323667,4276
9,0.019020446980504042,4206
10,0.019873969946679594,4126
11,0.02126607319485658,4044
12,0.01995957554320364,3958
13,0.018819283320443414,3879
14,0.021282186022070416,3806
15,0.022013422818791945,3725
16,0.017567938512215206,3643
17,0.018440905280804692,3579
18,0.016225448334756618,3513
19,0.021116575065085335,3457
20,0.022458628841607566,3384
21,0.022370012091898428,3308
22,0.01948051948051948,3234
23,0.02302112898139388,3171
24,0.0171078114912847,3098
25,0.015435139573070607,3045
26,0.01734489659773182,2998
27,0.015614392396469789,2946
28,0.01793103448275862,2900
29,0.02282303370786517,2848
30,0.01760689902982393,2783
31,0.019019751280175568,2734
32,0.019388516032811335,2682
33,0.023574144486692015,2630
34,0.018302180685358254,2568
35,0.01943673145577152,2521
36,0.0186084142394822,2472
37,0.02019785655399835,2426
38,0.01430374421539756,2377
39,0.022193768672641914,2343
40,0.023134002618943692,2291
41,0.02546916890080429,2238
42,0.02063273727647868,2181
43,0.020131086142322098,2136
44,0.018155757286192068,2093
45,0.02238442822384428,2055
46,0.019412643106022896,2009
47,0.02284263959390863,1970
48,0.015064935064935066,1925
49,0.022151898734177215,1896
50,0.022114347357065803,1854
51,0.01820187534473249,1813
52,0.015730337078651686,1780
53,0.019406392694063926,1752
54,0.014551804423748545,1718
55,0.014766686355581808,1693
56,0.023381294964028777,1668
57,0.01596071209330878,1629
58,0.016219588271990017,1603
59,0.01585288522511097,1577
60,0.01997422680412371,1552
61,0.01643655489809336,1521
62,0.014037433155080214,1496
63,0.021016949152542375,1475
64,0.013157894736842105,1444
65,0.017543859649122806,1425
66,0.02214285714285714,1400
67,0.016070124178232285,1369
68,0.016332590942835932,1347
69,0.024150943396226414,1325
70,0.025522041763341066,1293
71,0.026984126984126985,1260
72,0.01957585644371941,1226
73,0.020798668885191347,1202
74,0.020390824129141887,1177
75,0.027753686036426712,1153
76,0.01694915254237288,1121
77,0.019056261343012703,1102
78,0.027752081406105456,1081
79,0.015223596574690771,1051
80,0.022222222222222223,1035
81,0.011857707509881422,1012
82,0.019,1000
83,0.0163098878695209,981
84,0.014507772020725389,965
85,0.029442691903259727,951
86,0.01950162513542795,923
87,0.015469613259668509,905
88,0.014590347923681257,891
89,0.018223234624145785,878
90,0.019721577726218097,862
91,0.016568047337278107,845
92,0.02527075812274368,831
93,0.011111111111111112,810
94,0.02372034956304619,801
95,0.016624040920716114,782
96,0.01950585175552666,769
97,0.022546419098143235,754
98,0.009497964721845319,737
99,0.026027397260273973,730
100,0.014064697609001406,711
101,0.012838801711840228,701
102,0.02023121387283237,692
103,0.019174041297935103,678
104,0.01804511278195489,665
105,0.019908116385911178,653
106,0.0234375,640
107,0.0112,625
108,0.016181229773462782,618
109,0.011513157894736841,608
110,0.019966722129783693,601
111,0.023769100169779286,589
112,0.008695652173913044,575
113,0.021052631578947368,570
114,0.021505376344086023,558
115,0.016483516483516484,546
116,0.0223463687150838,537
117,0.024761904761904763,525
118,0.00390625,512
119,0.025490196078431372,510
120,0.01609657947686117,497
121,0.018404907975460124,489
122,0.022916666666666665,480
123,0.01279317697228145,469
124,0.004319654427645789,463
125,0.02386117136659436,461
126,0.015555555555555555,450
127,0.020316027088036117,443
128,0.01152073732718894,434
129,0.018648018648018648,429
130,0.019002375296912115,421
131,0.01694915254237288,413
132,0.022167487684729065,406
133,0.015113350125944584,397
134,0.015345268542199489,391
135,0.012987012987012988,385
136,0.02894736842105263,380
137,0.008130081300813009,369
138,0.01639344262295082,366
139,0.008333333333333333,360
140,0.025210084033613446,357
141,0.028735632183908046,348
142,0.014792899408284023,338
143,0.036036036036036036,333
144,0.021806853582554516,321
145,0.01910828025477707,314
146,0.025974025974025976,308
147,0.04,300
148,0.017361111111111112,288
149,0.007067137809187279,283
150,0.010676156583629894,281
151,0.014388489208633094,278
152,0.014598540145985401,274
153,0.018518518518518517,270
154,0.01509433962264151,265
155,0.03065134099616858,261
156,0.02766798418972332,253
157,0.016260162601626018,246
158,0.0,242
159,0.012396694214876033,242
160,0.02092050209205021,239
161,0.02564102564102564,234
162,0.008771929824561403,228
163,0.017699115044247787,226
164,0.009009009009009009,222
165,0.022727272727272728,220
166,0.023255813953488372,215
167,0.01904761904761905,210
168,0.02912621359223301,206
169,0.035,200
170,0.031088082901554404,193
171,0.026881720430107527,186
172,0.016574585635359115,181
173,0.02247191011235955,178
174,0.017241379310344827,174
175,0.017543859649122806,171
176,0.023809523809523808,168
177,0.018292682926829267,164
178,0.031055900621118012,161
179,0.038461538461538464,156
180,0.013333333333333334,150
181,0.013513513513513514,148
182,0.0273972602739726,146
183,0.014084507042253521,142
184,0.014285714285714285,140
185,0.028985507246376812,138
186,0.014925373134328358,134
187,0.015151515151515152,132
188,0.0,130
189,0.03076923076923077,130
190,0.007936507936507936,126
191,0.008,125
192,0.024193548387096774,124
193,0.024793388429752067,121
194,0.05084745762711865,118
195,0.008928571428571428,112
196,0.009009009009009009,111
197,0.00909090909090909,110
198,0.01834862385321101,109
199,0.009345794392523364,107
